time	I(R1)	I(R4)
1.599836662098113e-001	-1.181869e-003	-2.142794e-004
1.599937788617626e-001	-7.068344e-004	-9.247624e-005
1.600023345626455e-001	-2.726134e-004	1.891644e-005
1.600112665514642e-001	1.721155e-004	1.329490e-004
1.600202745455673e-001	5.539092e-004	2.343459e-004
1.600326525908249e-001	9.266859e-004	3.477209e-004
1.600381463544878e-001	1.014736e-003	3.854877e-004
1.600421366391183e-001	1.042042e-003	4.046655e-004
1.600451537517659e-001	1.054751e-003	4.145374e-004
1.600488993862538e-001	1.062743e-003	4.213378e-004
1.600525907844791e-001	1.062662e-003	4.221711e-004
1.600572168256648e-001	1.048410e-003	4.134658e-004
1.600647125428348e-001	9.680384e-004	3.786409e-004
1.600755001750358e-001	6.938861e-004	2.943092e-004
1.600878561265791e-001	1.926777e-004	1.633431e-004
1.600968601229003e-001	-2.503866e-004	5.186675e-005
1.601052762432635e-001	-6.830241e-004	-5.706576e-005
1.601138592685042e-001	-1.101763e-003	-1.623184e-004
1.601241738838419e-001	-1.531727e-003	-2.701706e-004
1.601352984544045e-001	-1.892221e-003	-3.606495e-004
1.601400487297484e-001	-1.999181e-003	-3.876851e-004
1.601435513673702e-001	-2.048318e-003	-4.002603e-004
1.601469010984135e-001	-2.074862e-003	-4.071714e-004
1.601505668505787e-001	-2.083172e-003	-4.095541e-004
1.601539229944768e-001	-2.069059e-003	-4.063307e-004
1.601593816493848e-001	-1.999705e-003	-3.896496e-004
1.601681913408345e-001	-1.792788e-003	-3.396451e-004
1.601797556050711e-001	-1.383972e-003	-2.410482e-004
1.601918289312786e-001	-8.403567e-004	-1.100632e-004
1.602008146967939e-001	-3.894895e-004	-1.275822e-006
1.602092557633548e-001	3.626420e-005	1.015560e-004
1.602177546597854e-001	4.216835e-004	1.953411e-004
1.602295300370141e-001	8.283870e-004	3.030994e-004
1.602371462105495e-001	9.761039e-004	3.564210e-004
1.602413990274486e-001	1.011743e-003	3.775308e-004
1.602445638610929e-001	1.026217e-003	3.881972e-004
1.602481252078041e-001	1.034786e-003	3.951449e-004
1.602523024935364e-001	1.035887e-003	3.969800e-004
1.602567479316165e-001	1.023918e-003	3.901922e-004
1.602639560963116e-001	9.509238e-004	3.604140e-004
1.602745433153693e-001	6.914444e-004	2.853014e-004
1.602867060189065e-001	2.087827e-004	1.667203e-004
1.602957177757781e-001	-2.302332e-004	6.288831e-005
